Ensembl ID	Gene symbol	Gene type	ST1	ST2	ST3	ST4	OS1	OS2	OS3	OS4
ENSG00000000003.14	TSPAN6	protein_coding	1300	1649	1439	1432	1446	1509	1286	1217
ENSG00000000419.12	DPM1	protein_coding	1086	1728	1224	1377	1226	1366	1123	1427
ENSG00000000457.13	SCYL3	protein_coding	893	1143	969	821	746	862	914	918
ENSG00000000460.16	C1orf112	protein_coding	102	166	51	94	54	132	98	91
ENSG00000000938.12	FGR	protein_coding	30	39	22	33	18	35	27	28
ENSG00000000971.15	CFH	protein_coding	1047	1536	1125	1406	922	1057	720	786
ENSG00000001036.13	FUCA2	protein_coding	1723	2418	1734	2003	1633	2179	1624	1655
ENSG00000001084.10	GCLC	protein_coding	466	722	555	661	547	698	546	616
ENSG00000001167.14	NFYA	protein_coding	726	1103	637	909	873	1104	719	840
ENSG00000001460.17	STPG1	protein_coding	457	628	476	499	467	596	567	510
ENSG00000001461.16	NIPAL3	protein_coding	470	614	521	622	664	877	550	653
ENSG00000001497.16	LAS1L	protein_coding	960	1364	1052	1222	1025	1320	857	928
ENSG00000001561.6	ENPP4	protein_coding	734	1151	809	917	483	719	541	575
ENSG00000001617.11	SEMA3F	protein_coding	2346	3618	2302	2505	2886	5441	2736	2620
ENSG00000001626.14	CFTR	protein_coding	12	2	5	1	1	3	11	3
ENSG00000001629.9	ANKIB1	protein_coding	1702	2798	2043	2273	2011	2783	1702	1980
ENSG00000001630.15	CYP51A1	protein_coding	50	78	38	70	80	78	46	38
ENSG00000001631.14	KRIT1	protein_coding	559	1043	711	915	719	936	640	769
ENSG00000002016.16	RAD52	protein_coding	114	231	169	250	181	235	136	173
ENSG00000002079.12	MYH16	unitary_pseudogene	20	60	27	38	62	57	46	55
ENSG00000002330.13	BAD	protein_coding	536	685	568	579	587	881	600	587
ENSG00000002549.12	LAP3	protein_coding	3247	4674	3494	4213	2398	3381	2271	2452
ENSG00000002586.17	CD99	protein_coding	15720	24442	19053	20509	19254	25886	16591	18359
ENSG00000002587.9	HS3ST1	protein_coding	400	699	459	426	285	466	265	322
ENSG00000002745.12	WNT16	protein_coding	0	4	0	4	0	1	1	3
ENSG00000002746.14	HECW1	protein_coding	59	46	68	27	20	28	32	45
ENSG00000002822.15	MAD1L1	protein_coding	429	633	588	611	488	768	483	450
ENSG00000002834.17	LASP1	protein_coding	3000	4997	3318	4670	3560	5507	3832	3821
ENSG00000002919.14	SNX11	protein_coding	282	406	290	291	306	425	268	356
ENSG00000002933.7	TMEM176A	protein_coding	17	14	16	20	15	16	26	19
ENSG00000003056.7	M6PR	protein_coding	396	697	520	608	618	863	483	496
ENSG00000003096.13	KLHL13	protein_coding	183	337	203	287	237	384	239	296
ENSG00000003137.8	CYP26B1	protein_coding	24	6	3	12	7	26	9	16
ENSG00000003147.17	ICA1	protein_coding	698	1050	755	964	772	1086	565	754
ENSG00000003249.13	DBNDD1	protein_coding	755	1143	1136	1215	623	1223	707	740
ENSG00000003393.14	ALS2	protein_coding	685	1325	797	1016	1037	1289	856	926
ENSG00000003400.14	CASP10	protein_coding	875	1455	1236	1410	972	1202	942	907
ENSG00000003402.19	CFLAR	protein_coding	3930	6203	4357	5030	3876	6077	4118	4536
ENSG00000003436.14	TFPI	protein_coding	11198	16670	13335	14123	11561	15383	11598	12897
ENSG00000003509.15	NDUFAF7	protein_coding	281	505	366	417	247	455	295	336
ENSG00000003756.16	RBM5	protein_coding	1850	3201	2258	2521	1810	3363	1954	1926
ENSG00000003987.13	MTMR7	protein_coding	80	108	96	75	107	116	81	88
ENSG00000003989.16	SLC7A2	protein_coding	772	1065	755	943	1115	1406	811	1022
ENSG00000004059.10	ARF5	protein_coding	208	254	239	426	238	441	232	255
ENSG00000004139.13	SARM1	protein_coding	49	18	9	34	9	32	27	22
ENSG00000004142.11	POLDIP2	protein_coding	1393	2064	1492	1948	1624	2090	1579	1473
ENSG00000004399.12	PLXND1	protein_coding	12820	20817	16061	21271	13127	22931	10637	12448
ENSG00000004455.16	AK2	protein_coding	2769	4151	3094	3125	3066	4073	2789	2810
ENSG00000004468.12	CD38	protein_coding	23	8	11	14	9	8	3	1
ENSG00000004478.7	FKBP4	protein_coding	571	1078	737	968	817	994	637	655
ENSG00000004487.15	KDM1A	protein_coding	1337	2387	1623	2086	1636	2173	1366	1543
ENSG00000004534.14	RBM6	protein_coding	1793	3131	2192	2784	1686	2772	1770	1854
ENSG00000004660.14	CAMKK1	protein_coding	17	27	12	25	21	56	12	34
ENSG00000004700.15	RECQL	protein_coding	817	1312	971	1307	1065	1314	825	978
ENSG00000004766.15	CCDC132	protein_coding	549	845	561	676	737	782	645	633
ENSG00000004776.11	HSPB6	protein_coding	226	311	172	214	220	280	243	182
ENSG00000004777.18	ARHGAP33	protein_coding	65	67	67	67	47	81	35	36
ENSG00000004779.9	NDUFAB1	protein_coding	4519	6618	5362	4968	4626	5512	4474	4565
ENSG00000004799.7	PDK4	protein_coding	299	469	325	581	203	343	173	196
ENSG00000004809.13	SLC22A16	protein_coding	3	0	4	2	2	0	0	2
ENSG00000004838.13	ZMYND10	protein_coding	15	18	10	1	1	13	11	4
