Ensembl ID,Gene symbol,Gene type,OS1,OS2,OS3,OS4,LS1,LS2,LS3,LS4
ENSG00000000003.14,TSPAN6,protein_coding,1446,1509,1286,1217,1244,989,1248,1336
ENSG00000000419.12,DPM1,protein_coding,1226,1366,1123,1427,971,834,1143,1038
ENSG00000000457.13,SCYL3,protein_coding,746,862,914,918,1040,979,1059,1296
ENSG00000000460.16,C1orf112,protein_coding,54,132,98,91,55,68,75,87
ENSG00000000938.12,FGR,protein_coding,18,35,27,28,359,131,291,288
ENSG00000000971.15,CFH,protein_coding,922,1057,720,786,546,460,856,807
ENSG00000001036.13,FUCA2,protein_coding,1633,2179,1624,1655,1189,1110,1687,1508
ENSG00000001084.10,GCLC,protein_coding,547,698,546,616,640,361,564,637
ENSG00000001167.14,NFYA,protein_coding,873,1104,719,840,973,510,925,1053
ENSG00000001460.17,STPG1,protein_coding,467,596,567,510,899,609,913,788
ENSG00000001461.16,NIPAL3,protein_coding,664,877,550,653,1281,977,1447,1499
ENSG00000001497.16,LAS1L,protein_coding,1025,1320,857,928,569,520,657,790
ENSG00000001561.6,ENPP4,protein_coding,483,719,541,575,341,268,431,433
ENSG00000001617.11,SEMA3F,protein_coding,2886,5441,2736,2620,14149,11320,14467,16803
ENSG00000001626.14,CFTR,protein_coding,1,3,11,3,3,8,4,3
ENSG00000001629.9,ANKIB1,protein_coding,2011,2783,1702,1980,2436,1477,2029,2486
ENSG00000001630.15,CYP51A1,protein_coding,80,78,46,38,166,63,120,102
ENSG00000001631.14,KRIT1,protein_coding,719,936,640,769,872,560,896,941
ENSG00000002016.16,RAD52,protein_coding,181,235,136,173,600,235,692,572
ENSG00000002079.12,MYH16,unitary_pseudogene,62,57,46,55,35,25,28,61
ENSG00000002330.13,BAD,protein_coding,587,881,600,587,302,353,402,520
ENSG00000002549.12,LAP3,protein_coding,2398,3381,2271,2452,1050,1069,1509,1555
ENSG00000002586.17,CD99,protein_coding,19254,25886,16591,18359,21519,18447,21406,25704
ENSG00000002587.9,HS3ST1,protein_coding,285,466,265,322,4703,782,3994,4285
ENSG00000002745.12,WNT16,protein_coding,0,1,1,3,15,10,19,24
ENSG00000002746.14,HECW1,protein_coding,20,28,32,45,55,64,55,56
ENSG00000002822.15,MAD1L1,protein_coding,488,768,483,450,307,315,490,430
ENSG00000002834.17,LASP1,protein_coding,3560,5507,3832,3821,5149,2880,4321,4986
ENSG00000002919.14,SNX11,protein_coding,306,425,268,356,408,159,263,325
ENSG00000002933.7,TMEM176A,protein_coding,15,16,26,19,15,8,17,21
ENSG00000003056.7,M6PR,protein_coding,618,863,483,496,623,498,783,761
ENSG00000003096.13,KLHL13,protein_coding,237,384,239,296,84,88,73,86
ENSG00000003137.8,CYP26B1,protein_coding,7,26,9,16,7,5,15,32
ENSG00000003147.17,ICA1,protein_coding,772,1086,565,754,264,387,460,491
