ï..Ensembl.ID,Gene.symbol,Gene.type,OS1,OS2,OS3,OS4,LS1,LS2,LS3,LS4,OS,LS
ENSG00000000003.14,TSPAN6,protein_coding,1545.625,1157.5625,1470,1249.25,1235.5,1334.75,1242.25,1169.875,1355.609375,1245.59375
ENSG00000000419.12,DPM1,protein_coding,1306.125,1043.125,1272.0625,1470.625,967.6875,1123.25,1137.4375,915.75,1272.984375,1036.03125
ENSG00000000457.13,SCYL3,protein_coding,784,659.6875,1034.375,941.4375,1034.5,1319.5,1056.75,1134.25,854.875,1136.25
ENSG00000000460.16,C1orf112,protein_coding,59,101.625,109.875,91.5,55.125,93.875,71.375,75.3125,90.5,73.921875
ENSG00000000938.12,FGR,protein_coding,21.125,29.125,32.75,30.125,375.25,182.5625,294.125,260.375,28.28125,278.078125
ENSG00000000971.15,CFH,protein_coding,975.8125,808.5,807.4375,803.625,555.625,626.8125,857,710,848.84375,687.359375
ENSG00000001036.13,FUCA2,protein_coding,1733.8125,1714.125,1872.625,1720.375,1173,1487,1654.625,1311.625,1760.234375,1406.5625
ENSG00000001084.10,GCLC,protein_coding,569,532.75,608.125,619.125,649.875,496.125,566.8125,560.8125,582.25,568.40625
ENSG00000001167.14,NFYA,protein_coding,922,846.125,806.375,859.8125,970.125,688.625,918.125,928.75,858.578125,876.40625
ENSG00000001460.17,STPG1,protein_coding,486.375,452.25,634.875,512.875,901.3125,824.4375,911.0625,694.125,521.59375,832.734375
ENSG00000001461.16,NIPAL3,protein_coding,692.5,674.25,612.875,664.25,1269.125,1316.6875,1421.375,1306,660.96875,1328.296875
ENSG00000001497.16,LAS1L,protein_coding,1086.625,1006.25,966.875,951.125,578.375,704.375,654.0625,695.25,1002.71875,658.015625
ENSG00000001561.6,ENPP4,protein_coding,503.25,549.25,602.1875,580.5,357.6875,373.375,435.8125,390.5625,558.796875,389.359375
ENSG00000001617.11,SEMA3F,protein_coding,3109.75,4347,3150.5,2735.25,13185.375,14087.375,13656.25,13916.75,3335.625,13711.4375
ENSG00000001626.14,CFTR,protein_coding,1.625,2.75,13.75,3.625,2.75,10.25,3.25,1.75,5.4375,4.5
ENSG00000001629.9,ANKIB1,protein_coding,2151.1875,2180.5,1949.9375,2058,2353.375,1958.625,1993.75,2172.25,2084.90625,2119.5
ENSG00000001630.15,CYP51A1,protein_coding,84.625,61.875,53.75,40.375,174.375,86.875,117.375,89.625,60.15625,117.0625
ENSG00000001631.14,KRIT1,protein_coding,756.625,719.125,716.625,784.875,874.75,756.875,896.125,830.3125,744.3125,839.515625
ENSG00000002016.16,RAD52,protein_coding,185.9375,177,150.6875,170.75,609.9375,329,685.125,507.375,171.09375,532.859375
ENSG00000002079.12,MYH16,unitary_pseudogene,66.75,45.625,53.75,56.6875,33.875,33.75,24.625,50.25,55.703125,35.625
ENSG00000002330.13,BAD,protein_coding,611.75,678,673.3125,590.9375,319.25,486.0625,405.75,463.375,638.5,418.609375
ENSG00000002549.12,LAP3,protein_coding,2581,2664.875,2600.75,2550.5,1043.875,1437.375,1483.4375,1357.5625,2599.28125,1330.5625
ENSG00000002586.17,CD99,protein_coding,21150.75,21826.25,19660,19936.75,19393,23117.5,20299.125,21720.25,20643.4375,21132.46875
ENSG00000002587.9,HS3ST1,protein_coding,291.0625,349.25,289.75,317.25,4452.375,1054.625,3869.5625,3686.75,311.828125,3265.828125
ENSG00000002745.12,WNT16,protein_coding,0.25,1.125,1.25,3.625,14.125,12.75,16.5,18.5,1.5625,15.46875
ENSG00000002746.14,HECW1,protein_coding,23.375,23.5,38.25,46.75,55.125,88.25,51.25,45.75,32.96875,60.09375
ENSG00000002822.15,MAD1L1,protein_coding,509,588,539.125,449.875,324.75,436.9375,493.25,387.625,521.5,410.640625
ENSG00000002834.17,LASP1,protein_coding,3854.125,4383.0625,4465,4035.125,4828.125,3794.375,4175.5625,4247.375,4184.328125,4261.359375
ENSG00000002919.14,SNX11,protein_coding,313.125,316.375,292.4375,351.25,418.75,226,266.5,293.6875,318.296875,301.234375
ENSG00000002933.7,TMEM176A,protein_coding,17.875,13.75,31.25,21,14.125,10.25,14.625,15.875,20.96875,13.71875
ENSG00000003056.7,M6PR,protein_coding,644.875,660.625,539.125,498.25,633.625,672.875,777.875,671.875,585.71875,689.0625
ENSG00000003096.13,KLHL13,protein_coding,242.0625,284.125,261.25,292.125,86.125,122,69.5,74.125,269.890625,87.9375
ENSG00000003137.8,CYP26B1,protein_coding,8.75,22,11.25,17.875,6.5,6.125,12.75,25.25,14.96875,12.65625
ENSG00000003147.17,ICA1,protein_coding,809.5,830,631.25,770,281.75,529.125,464.6875,440.75,760.1875,429.078125
ENSG00000003249.13,DBNDD1,protein_coding,651.125,933.875,793.375,755.75,254.875,359.375,335,266.5,783.53125,303.9375
ENSG00000003393.14,ALS2,protein_coding,1102.125,983,965.75,948,917.6875,794.375,968.625,1026.75,999.71875,926.859375
ENSG00000003400.14,CASP10,protein_coding,1025.375,918.0625,1066.5,932.75,1690.625,1358.5,1599.25,1511.25,985.671875,1539.90625
